x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
0.019,1.198,-0.209,-42.927,43.354,-2.927
0.033,1.109,-0.121,-48.293,53.476,-11.28
0.041,0.963,-0.047,-53.72,64.268,-14.573
0.025,0.902,-0.021,-60.244,66.341,-16.646
-0.006,0.895,-0.022,-67.012,57.195,-18.11
0.053,0.917,-0.021,-69.512,45.244,-19.634
0.145,1.063,-0.043,-69.695,33.598,-23.049
0.146,1.245,-0.084,-71.89,19.695,-24.817
0.063,1.338,-0.054,-77.5,11.707,-25.793
0.063,1.273,0.012,-81.28,18.902,-27.317
0.091,1.189,0.028,-84.024,33.476,-27.561
0.06,1.123,0.029,-89.878,42.317,-26.159
0.068,1.027,0.057,-94.268,43.841,-25.549
0.139,0.994,0.082,-94.207,39.39,-27.683
0.176,1.089,0.111,-93.537,26.159,-32.5
0.156,1.206,0.135,-95.793,9.146,-39.695
0.16,1.299,0.141,-98.11,-1.585,-45.61
0.159,1.355,0.156,-100.488,-0.793,-53.293
0.142,1.313,0.168,-102.317,11.585,-60.122
0.127,1.253,0.139,-104.024,30.122,-63.415
0.082,1.209,0.128,-105.976,48.841,-63.72
0.093,1.126,0.146,-103.171,60.549,-63.841
0.063,1.095,0.169,-98.354,59.451,-63.354
-0.017,1.202,0.211,-97.256,44.268,-64.268
-0.1,1.327,0.236,-100.183,22.866,-67.622
-0.087,1.365,0.259,-101.524,8.963,-69.146
-0.022,1.361,0.256,-99.878,4.878,-69.207
-0.05,1.341,0.234,-98.354,6.829,-68.171
-0.09,1.311,0.216,-95.732,11.098,-66.463
-0.118,1.33,0.233,-93.232,17.317,-63.293
-0.067,1.36,0.276,-88.049,23.537,-58.963
-0.07,1.342,0.311,-81.951,25.732,-53.293
-0.146,1.338,0.342,-78.171,21.463,-48.049
